country,date,value,metric
DRC,2026-06-29,1333,cumulative_confirmed_cases
DRC,2026-06-29,399,cumulative_confirmed_deaths
DRC,2026-06-29,309,cumulative_suspected_cases
DRC,2026-06-29,609,suspected_cases_in_isolation
DRC,2026-06-30,301,cumulative_suspected_cases
DRC,2026-06-30,90,cumulative_suspected_deaths
DRC,2026-06-30,438,cumulative_confirmed_deaths
DRC,2026-06-30,609,suspected_cases_in_isolation
DRC,2026-06-30,1406,cumulative_confirmed_cases
DRC,2026-06-30,208,cumulative_recovered_cases
DRC,2026-07-01,641,suspected_cases_in_isolation
DRC,2026-07-01,41,cumulative_suspected_deaths
DRC,2026-07-01,213,cumulative_recovered_cases
DRC,2026-07-01,150,cumulative_suspected_cases
DRC,2026-07-01,452,cumulative_confirmed_deaths
DRC,2026-07-01,1460,cumulative_confirmed_cases
DRC,2026-07-02,213,cumulative_suspected_cases
DRC,2026-07-02,473,cumulative_confirmed_deaths
DRC,2026-07-02,628,suspected_cases_in_isolation
DRC,2026-07-02,229,cumulative_recovered_cases
DRC,2026-07-02,1502,cumulative_confirmed_cases
DRC,2026-07-02,63,cumulative_suspected_deaths
DRC,2026-07-03,67,cumulative_suspected_deaths
DRC,2026-07-03,628,suspected_cases_in_isolation
DRC,2026-07-03,185,cumulative_suspected_cases
DRC,2026-07-03,1528,cumulative_confirmed_cases
DRC,2026-07-03,492,cumulative_confirmed_deaths
DRC,2026-07-03,239,cumulative_recovered_cases
DRC,2026-07-04,506,cumulative_confirmed_deaths
DRC,2026-07-04,254,cumulative_recovered_cases
DRC,2026-07-04,110,cumulative_suspected_deaths
DRC,2026-07-04,1561,cumulative_confirmed_cases
DRC,2026-07-04,354,cumulative_suspected_cases
DRC,2026-07-04,628,suspected_cases_in_isolation
DRC,2026-07-05,521,cumulative_confirmed_deaths
DRC,2026-07-05,135,cumulative_suspected_cases
DRC,2026-07-05,1624,cumulative_confirmed_cases
DRC,2026-07-05,23,cumulative_suspected_deaths
DRC,2026-07-05,646,suspected_cases_in_isolation
DRC,2026-07-05,273,cumulative_recovered_cases
DRC,2026-07-06,680,suspected_cases_in_isolation
DRC,2026-07-06,70,cumulative_suspected_deaths
DRC,2026-07-06,1708,cumulative_confirmed_cases
DRC,2026-07-06,580,cumulative_confirmed_deaths
DRC,2026-07-06,237,cumulative_suspected_cases
DRC,2026-07-06,280,cumulative_recovered_cases
DRC,2026-07-07,92,cumulative_suspected_deaths
DRC,2026-07-07,1759,cumulative_confirmed_cases
DRC,2026-07-07,750,suspected_cases_in_isolation
DRC,2026-07-07,285,cumulative_recovered_cases
DRC,2026-07-07,304,cumulative_suspected_cases
DRC,2026-07-07,600,cumulative_confirmed_deaths
DRC,2026-07-08,60,cumulative_suspected_deaths
DRC,2026-07-08,295,cumulative_recovered_cases
DRC,2026-07-08,227,cumulative_suspected_cases
DRC,2026-07-08,1792,cumulative_confirmed_cases
DRC,2026-07-08,764,suspected_cases_in_isolation
DRC,2026-07-08,625,cumulative_confirmed_deaths
DRC,2026-07-09,81,cumulative_suspected_deaths
DRC,2026-07-09,648,cumulative_confirmed_deaths
DRC,2026-07-09,300,cumulative_recovered_cases
DRC,2026-07-09,284,cumulative_suspected_cases
DRC,2026-07-09,780,suspected_cases_in_isolation
DRC,2026-07-09,1830,cumulative_confirmed_cases
DRC,2026-07-10,299,cumulative_suspected_cases
DRC,2026-07-10,91,cumulative_suspected_deaths
DRC,2026-07-10,672,cumulative_confirmed_deaths
DRC,2026-07-10,306,cumulative_recovered_cases
DRC,2026-07-10,763,suspected_cases_in_isolation
DRC,2026-07-10,1873,cumulative_confirmed_cases
DRC,2026-07-11,1926,cumulative_confirmed_cases
DRC,2026-07-11,91,cumulative_suspected_deaths
DRC,2026-07-11,702,cumulative_confirmed_deaths
DRC,2026-07-11,318,cumulative_recovered_cases
DRC,2026-07-11,753,suspected_cases_in_isolation
DRC,2026-07-11,299,cumulative_suspected_cases
